,track_name,track_id,track_popularity,artist_name,artist_id,track_image_link,release_date
29,Slow Dancing,5h1BN75CEh8wdSwE1xrbSe,79,V,3JsHnjpbhX4SnySpvpa9DK,https://i.scdn.co/image/ab67616d0000b2738e504c5aedaae49a73ed4963,2023-09-08
30,Slow Dance (feat. Sofia Carson),3d2bsbugow8JiNvuaRupFH,74,Jimin,1oSPZhvZMIrWW5I41kPkkY,https://i.scdn.co/image/ab67616d0000b273f02c451189a709b9a952aaec,2024-07-19
31,Seven (feat. Latto),7x9aauaA9cu6tyfpHnqDLo,81,Jung Kook,6HaGTQPmzraVmaVxvz6EUc,https://i.scdn.co/image/ab67616d0000b273bf5cce5a0e1ed03a626bdd74,2023-07-14
32,Never Let Go,2nRMW95dnOILirpjbksLTs,79,Jung Kook,6HaGTQPmzraVmaVxvz6EUc,https://i.scdn.co/image/ab67616d0000b273083f5a45d93b57cb65a97b83,2024-06-07
33,3D (feat. Jack Harlow),6xGr4tVzpTX99p9Cf0hRRL,75,Jung Kook,6HaGTQPmzraVmaVxvz6EUc,https://i.scdn.co/image/ab67616d0000b273741fd4807f442af3f7359316,2023-11-03
34,Smeraldo Garden Marching Band (feat. Loco),1agDCV4zQqaFwJQNsTgmL1,73,Jimin,1oSPZhvZMIrWW5I41kPkkY,https://i.scdn.co/image/ab67616d0000b273f02c451189a709b9a952aaec,2024-07-19
35,Sticky,4e1aewX6ATPcdfQIqr7gqO,79,KISS OF LIFE,4TEK9tIkcoxib4GxT3O4ky,https://i.scdn.co/image/ab67616d0000b2734cd7f69b85766b3d3035c27c,2024-07-01
36,Rebirth (Intro),7gMfVc4zfNIxuMyMGglOHa,73,Jimin,1oSPZhvZMIrWW5I41kPkkY,https://i.scdn.co/image/ab67616d0000b273f02c451189a709b9a952aaec,2024-07-19
37,Magnetic,1aKvZDoLGkNMxoRYgkckZG,84,ILLIT,36cgvBn0aadzOijnjjwqMN,https://i.scdn.co/image/ab67616d0000b273f037c5fb9de6c78726cb8e2c,2024-03-25
38,Die With A Smile,2plbrEY59IikOBgBGLjaoe,100,Lady Gaga,1HY2Jd0NmPuamShAr6KMms,https://i.scdn.co/image/ab67616d0000b27382ea2e9e1858aa012c57cd45,2024-08-16
39,"Our Blues, Our Life",2jidjmWNeRmKgLjXhW52Gz,53,Lim Young Woong,75MOYjGEyyH5U4ZFHOPvxR,https://i.scdn.co/image/ab67616d0000b2738f116e476da669a9a3e7dcaa,2022-05-02
40,Rainbow,50xSycnGMDy0Wg5jJcOv3S,53,Lim Young Woong,75MOYjGEyyH5U4ZFHOPvxR,https://i.scdn.co/image/ab67616d0000b2738f116e476da669a9a3e7dcaa,2022-05-02
41,Pleasure Shop,2022n4pxaEaDC2YvzVl1w7,62,KEY,6XXKPxRX2WWPPtfodzpc2v,https://i.scdn.co/image/ab67616d0000b273cdd2d7af5d636ec8668138b1,2024-09-23
42,My Name is Malguem,1lTBkwEm0wim9RsMXqtqWy,59,QWER,0XufO9nLOKNN0w0qNrDrZy,https://i.scdn.co/image/ab67616d0000b273df409319f6111210ada8cf35,2024-09-23
43,Seven (feat. Latto),5Avril3IZ26DPVFHbJX8o6,77,Jung Kook,6HaGTQPmzraVmaVxvz6EUc,https://i.scdn.co/image/ab67616d0000b273bf5cce5a0e1ed03a626bdd74,2023-07-14
44,Armageddon,5eWcGfUCrVFMoYskyfkEPE,75,aespa,6YVMFz59CuY7ngCxTxjpxE,https://i.scdn.co/image/ab67616d0000b2730fc598038040859794c600e2,2024-05-27
45,녹아내려요 Melt Down,5Invv3m92xZvztdCbZrmZ6,55,DAY6,5TnQc2N1iKlFjYD7CPGvFc,https://i.scdn.co/image/ab67616d0000b27342e0fe9e101c705fe7edf5a2,2024-09-02
46,Closer Than This,6qafqn8bBMy7t5c5WqpyRk,72,Jimin,1oSPZhvZMIrWW5I41kPkkY,https://i.scdn.co/image/ab67616d0000b273f02c451189a709b9a952aaec,2024-07-19
47,A bientot,4Cr43xPo7bwyCcL1g3yVCu,52,Lim Young Woong,75MOYjGEyyH5U4ZFHOPvxR,https://i.scdn.co/image/ab67616d0000b2738f116e476da669a9a3e7dcaa,2022-05-02
48,Haegeum,4bjN59DRXFRxBE1g5ne6B1,84,Agust D,5RmQ8k4l3HZ8JoPb4mNsML,https://i.scdn.co/image/ab67616d0000b273fa9247b68471b82d2125651e,2023-04-21
49,BIRDS OF A FEATHER,6dOtVTDdiauQNBQEDOtlAB,98,Billie Eilish,6qqNVTkY8uBg9cP3Jd7DAH,https://i.scdn.co/image/ab67616d0000b27371d62ea7ea8a5be92d3c1f62,2024-05-17
50,Welcome to the Show,3BMAWsBp4jc35mCmebC3WT,53,DAY6,5TnQc2N1iKlFjYD7CPGvFc,https://i.scdn.co/image/ab67616d0000b2731e20be5a6bdfd2780516320a,2024-03-18
51,From,1UyrFk2u0Asqmys76trMLi,55,PLAVE,0k2zyzGq6HX383VlMBOvRG,https://i.scdn.co/image/ab67616d0000b273fcdc5e626e66249ead948655,2024-02-26
52,Sexy In The Air,3wluV5HGCW1Dq1CYsjIdLu,62,TAEMIN,13rF01aOogvnkuQXOlgTW8,https://i.scdn.co/image/ab67616d0000b273f2dff4b6f58682692c0b0beb,2024-08-19
53,Watch Me Woo!,1NubJcJa12xLssOkQfWZDZ,57,PLAVE,0k2zyzGq6HX383VlMBOvRG,https://i.scdn.co/image/ab67616d0000b273fcdc5e626e66249ead948655,2024-02-26
54,Our Movie,2ODZujtUNxCQDfKCxCeRxZ,56,PLAVE,0k2zyzGq6HX383VlMBOvRG,https://i.scdn.co/image/ab67616d0000b273fcdc5e626e66249ead948655,2024-02-26
55,Virtual Idol,4mMtn8zhy4IaOwzNCgSbCT,55,PLAVE,0k2zyzGq6HX383VlMBOvRG,https://i.scdn.co/image/ab67616d0000b273fcdc5e626e66249ead948655,2024-02-26
56,MEOW,1YjhXcHqe2ztp70ArdZOPa,51,MEOVV,08hHTBHlv0WRXWlyrsb6Kv,https://i.scdn.co/image/ab67616d0000b27349ab7d55d550efc9ab5fdc12,2024-09-06
57,Shot Glass of Tears,7AbqgE05nFl9qY4FRUiq2p,73,Jung Kook,6HaGTQPmzraVmaVxvz6EUc,https://i.scdn.co/image/ab67616d0000b273741fd4807f442af3f7359316,2023-11-03
58,Like Crazy,3Ua0m0YmEjrMi9XErKcNiR,76,Jimin,1oSPZhvZMIrWW5I41kPkkY,https://i.scdn.co/image/ab67616d0000b2732b46078245d0120690eb560d,2023-03-24
59,Bubble Gum,19D8LNpWwIPpi6hs9BG7dq,74,NewJeans,6HvZYsbFfjnjFrWF950C9d,https://i.scdn.co/image/ab67616d0000b273b657fbb27b17e7bd4691c2b2,2024-05-24
60,Supernova,2VdSktBqFfkW7y6q5Ik4Z4,74,aespa,6YVMFz59CuY7ngCxTxjpxE,https://i.scdn.co/image/ab67616d0000b2730fc598038040859794c600e2,2024-05-27
61,Interlude : Showtime,45zLrK0668WQ5JFMyiYmCS,71,Jimin,1oSPZhvZMIrWW5I41kPkkY,https://i.scdn.co/image/ab67616d0000b273f02c451189a709b9a952aaec,2024-07-19
62,A Psalm of Life,1E14FuM0BRaHAJSJ9YxMVu,51,Lim Young Woong,75MOYjGEyyH5U4ZFHOPvxR,https://i.scdn.co/image/ab67616d0000b2738f116e476da669a9a3e7dcaa,2022-05-02
63,Love Always Run Away,4rMEoXVYww6Xy7q9wSj4gy,52,Lim Young Woong,75MOYjGEyyH5U4ZFHOPvxR,https://i.scdn.co/image/ab67616d0000b273e56f69fd58795fbbcbc919f2,2021-10-11
64,I Love You,2lsRp40mCRkhqULWdMbOzn,51,Lim Young Woong,75MOYjGEyyH5U4ZFHOPvxR,https://i.scdn.co/image/ab67616d0000b2738f116e476da669a9a3e7dcaa,2022-05-02
65,Touch,1I5whYZ5CmnVtHKKoy4Im5,50,KATSEYE,3c0gDdb9lhnHGFtP4prQpn,https://i.scdn.co/image/ab67616d0000b2737e08f4e6d2766b139abb3a67,2024-07-26
66,The 6th Summer,1lODrFR40rSNAw5cX4j2J2,56,PLAVE,0k2zyzGq6HX383VlMBOvRG,https://i.scdn.co/image/ab67616d0000b273772deb037d678ad1355262ca,2023-08-24
67,Father,365znJ27Fb3faGsctmQYWR,50,Lim Young Woong,75MOYjGEyyH5U4ZFHOPvxR,https://i.scdn.co/image/ab67616d0000b2738f116e476da669a9a3e7dcaa,2022-05-02
68,Small girl (feat. D.O.),1AtFSBJibfaqfiOByQCwZ5,73,Lee Young Ji,0Y2AcMPMpeuPXtPQGVvRBq,https://i.scdn.co/image/ab67616d0000b273aa8e7da62fbfae5cb65f8e55,2024-06-21
69,Hype Boy,0a4MMyCrzT0En247IhqZbD,77,NewJeans,6HvZYsbFfjnjFrWF950C9d,https://i.scdn.co/image/ab67616d0000b2739d28fd01859073a3ae6ea209,2022-08-01
70,Love Letter,0yfQBmmOIVqiwhV5u10EhN,50,Lim Young Woong,75MOYjGEyyH5U4ZFHOPvxR,https://i.scdn.co/image/ab67616d0000b2738f116e476da669a9a3e7dcaa,2022-05-02
71,Lovely Touch,7x3SGAkfIrzDr9paSslwMv,50,Lim Young Woong,75MOYjGEyyH5U4ZFHOPvxR,https://i.scdn.co/image/ab67616d0000b2738f116e476da669a9a3e7dcaa,2022-05-02
72,Merry PLLIstmas,30FH8tNdUgHqZbB6ENgOwY,53,PLAVE,0k2zyzGq6HX383VlMBOvRG,https://i.scdn.co/image/ab67616d0000b273fcdc5e626e66249ead948655,2024-02-26
73,If I have you only (My love X Nerd Connection),3TQHPUEVdvdq8ejwEcHUlL,54,Nerd Connection,5WKUZJPvN1SScyggtPFShK,https://i.scdn.co/image/ab67616d0000b27320daf4f9c25cbe0bc384e606,2023-08-15
74,3D (feat. Jack Harlow) (Clean Ver.),0TaaG2kxjzSjVbmmiiSZEa,69,Jung Kook,6HaGTQPmzraVmaVxvz6EUc,https://i.scdn.co/image/ab67616d0000b27399583bb32b47e87d55c6064b,2023-10-02
75,Be Mine,3VaKWbW68AyOkEl4AxhXA2,73,Jimin,1oSPZhvZMIrWW5I41kPkkY,https://i.scdn.co/image/ab67616d0000b27382601539d4a27061ad90eacb,2024-07-23
76,T.B.H,39gaUtq2z4ejJbno7tWHbL,59,QWER,0XufO9nLOKNN0w0qNrDrZy,https://i.scdn.co/image/ab67616d0000b2738a0ed896193a7c70ae17b30e,2024-04-01
77,ETA,56v8WEnGzLByGsDAXDiv4d,78,NewJeans,6HvZYsbFfjnjFrWF950C9d,https://i.scdn.co/image/ab67616d0000b2730744690248ef3ba7b776ea7b,2023-07-21
78,Ditto,3r8RuvgbX9s7ammBn07D3W,77,NewJeans,6HvZYsbFfjnjFrWF950C9d,https://i.scdn.co/image/ab67616d0000b273edf5b257be1d6593e81bb45f,2022-12-19
79,3D (feat. Jack Harlow),6ehWdR7cGDXnT7aKEASJxE,74,Jung Kook,6HaGTQPmzraVmaVxvz6EUc,https://i.scdn.co/image/ab67616d0000b273409a2d7bd4b2238e4aaa7bf5,2023-09-29
80,Eagle Libre,5W0eCdBBFVGOkJOU7uSVBn,56,Amy Rowbottom,6XBxK2ly16iuzbig7ekEfN,https://i.scdn.co/image/ab67616d0000b273b2c7768b429401edb5f4ccb1,2024-07-08
81,UP - KARINA Solo,5sjnkOfTLCLNfkkchI2re2,76,aespa,6YVMFz59CuY7ngCxTxjpxE,https://i.scdn.co/image/ab67616d0000b273253096eda3b7826c11c7fab8,2024-10-09
82,HERO,43u5DDtK4vQ1coWXb4S5a8,49,Lim Young Woong,75MOYjGEyyH5U4ZFHOPvxR,https://i.scdn.co/image/ab67616d0000b27320b05d0ab75d4c27f1e4bbd6,2020-11-04
83,Electric Shock,1ARMCwjWcFqDRKnCsLhxzd,59,KANGDANIEL,5vGoWnZO65NBgiZYBmi3iW,https://i.scdn.co/image/ab67616d0000b273cc9a5afdf4774654df627bdd,2024-09-23
84,OMG,65FftemJ1DbbZ45DUfHJXE,78,NewJeans,6HvZYsbFfjnjFrWF950C9d,https://i.scdn.co/image/ab67616d0000b273d70036292d54f29e8b68ec01,2023-01-02
85,Be Mine,59ldd5koyBqo1vFp6MusW1,73,Jimin,1oSPZhvZMIrWW5I41kPkkY,https://i.scdn.co/image/ab67616d0000b273f150d9f2e5e8148e5032fd7d,2024-07-23
86,Mantra,78yHTvGfbDGL2XYAEkcqKH,51,JENNIE,250b0Wlc5Vk0CoUsaCY84M,https://i.scdn.co/image/ab67616d0000b27335c180d6f2fc490e0042a37a,2024-10-11
87,Wait for you,4r1caIy3DscFsJuNXKIo5g,55,PLAVE,0k2zyzGq6HX383VlMBOvRG,https://i.scdn.co/image/ab67616d0000b273a99b90fd4a32ab85a30e79bd,2023-03-12
88,Boom Boom Bass,6Ixrp3yXfzv5brZXmZuXXN,65,RIIZE,2jOm3cYujQx6o1dxuiuqaX,https://i.scdn.co/image/ab67616d0000b273eb3f976a4225b949b5f432a2,2024-06-17
89,Nest,05STjz8kmPBUebu3uu5sO0,49,Lim Young Woong,75MOYjGEyyH5U4ZFHOPvxR,https://i.scdn.co/image/ab67616d0000b2738f116e476da669a9a3e7dcaa,2022-05-02
90,Yes or No,2gkVEnpahpE3bQuvGuCpAV,76,Jung Kook,6HaGTQPmzraVmaVxvz6EUc,https://i.scdn.co/image/ab67616d0000b273741fd4807f442af3f7359316,2023-11-03
91,Beat Drum,6bdA8NPhCKyS38Zsg2xui9,59,ONEW,7sZ5ipSoboWdqXkdj6AXHo,https://i.scdn.co/image/ab67616d0000b27326874d8b634cc01471431b33,2024-09-03
92,CRAZY,4gxEY3Mh5FZZDAJAKPNrCS,79,LE SSERAFIM,4SpbR6yFEvexJuaBpgAU5p,https://i.scdn.co/image/ab67616d0000b273d49db78bd7ea1f7229865baa,2024-09-02
93,1-800-hot-n-fun,7vjfnsnDXZGK4PSq54ISjc,77,LE SSERAFIM,4SpbR6yFEvexJuaBpgAU5p,https://i.scdn.co/image/ab67616d0000b273485623bc41b6760fc1bca2f4,2024-08-30
94,Neva Play (feat. RM of BTS),2ZqTbIID9vFPTXaGyzbb4q,85,Megan Thee Stallion,181bsRPaVXVlUKXrxwZfHK,https://i.scdn.co/image/ab67616d0000b27397f8107c251479168c7d87db,2024-09-06
95,Super Shy,5sdQOyqq2IDhvmx2lHOpwd,79,NewJeans,6HvZYsbFfjnjFrWF950C9d,https://i.scdn.co/image/ab67616d0000b2733d98a0ae7c78a3a9babaf8af,2023-07-07
96,Nice Guy,6pqyZNnLKyJKtrlf42FQoq,70,BOYNEXTDOOR,4hnHLgMSOiqERWBL4jINP1,https://i.scdn.co/image/ab67616d0000b27381909c1add057c602193daab,2024-09-09
97,MILLION DOLLAR BABY,5AJ9hqTS2wcFQCELCFRO7A,90,Tommy Richman,1WaFQSHVGZQJTbf0BdxdNo,https://i.scdn.co/image/ab67616d0000b27301c0cd5da820e6128655854f,2024-04-26
98,Perfect Night,2e57bosi6bl7yxoYRiJHVq,61,LE SSERAFIM,4SpbR6yFEvexJuaBpgAU5p,https://i.scdn.co/image/ab67616d0000b2731c6e4f383b888a0510b3ee79,2024-08-09
99,Attention,2pIUpMhHL6L9Z5lnKxJJr9,75,NewJeans,6HvZYsbFfjnjFrWF950C9d,https://i.scdn.co/image/ab67616d0000b2739d28fd01859073a3ae6ea209,2022-08-01
