,track_name,track_id,track_popularity,artist_name,track_image_link,release_date
27,"Doctor, Lawyer, Indian Chief",RG9jdG9yLCBMYXd5ZXIsIEluZGlhbiBDaGllZl9CZXR0eSBIdXR0b24=,33,Betty Hutton,https://i.scdn.co/image/ab67616d0000b273410be1056698ccd868d06093,1950-01-01
28,Por Las Calles De México,UG9yIExhcyBDYWxsZXMgRGUgTcOpeGljb19MYSBTb25vcmEgU2FudGFuZXJh,43,La Sonora Santanera,https://i.scdn.co/image/ab67616d0000b2738a61c81e717075df6e7b389d,1950-01-01
29,Intoit,SW50b2l0X01pbGVzIERhdmlz7Jm4IDHrqoU=,35,Miles Davis,https://i.scdn.co/image/ab67616d0000b27313c6b52009fe5ecd59a0bb93,1951-10-05
30,"Etude in D-Sharp Minor, Op. 8, No. 12: Patetico - Remastered",RXR1ZGUgaW4gRC1TaGFycCBNaW5vciwgT3AuIDgsIE5vLiAxMjogUGF0ZXRpY28gLSBSZW1hc3RlcmVkX0FsZXhhbmRlciBTY3JpYWJpbuyZuCAx66qF,37,Alexander Scriabin,https://i.scdn.co/image/ab67616d0000b27360ba4504f450227b6da44cde,1951-01-01
31,Stardust,U3RhcmR1c3RfVGhlIERvbWlub2Vz7Jm4IDHrqoU=,32,The Dominoes,https://i.scdn.co/image/ab67616d0000b273d66465d8b4f0f83dce712964,1951-02-25
32,Mansion On The Hill,TWFuc2lvbiBPbiBUaGUgSGlsbF9IYW5rIFdpbGxpYW1z7Jm4IDHrqoU=,30,Hank Williams,https://i.scdn.co/image/ab67616d0000b273cf2da0cdda3bedfaf3a6fa38,1951-11-09
33,Sweet Violets,U3dlZXQgVmlvbGV0c19IYXJyeSBNY0NsaW50b2Nr,29,Harry McClintock,https://i.scdn.co/image/ab67616d0000b273ed6ad0f2b0d47b6b5fe7cd7e,1950-01-01
34,Boccuccia di rosa,Qm9jY3VjY2lhIGRpIHJvc2FfSm9obm55IERvcmVsbGk=,36,Johnny Dorelli,https://i.scdn.co/image/ab67616d0000b2738a3f51c60002b917113e7536,1951-07-08
35,Sophisticated Savage,U29waGlzdGljYXRlZCBTYXZhZ2VfTGVzIEJheHRlcg==,29,Les Baxter,https://i.scdn.co/image/ab67616d0000b27322e801ad6c2fd9e839680bcd,1951-01-01
36,Long Ago and Far Away,TG9uZyBBZ28gYW5kIEZhciBBd2F5X0Vycm9sbCBHYXJuZXI=,28,Erroll Garner,https://i.scdn.co/image/ab67616d0000b273dad2d6e8bb70bb1226dbc857,1950-09-18
37,Corazón de Acero,Q29yYXrDs24gZGUgQWNlcm9fTGEgU29ub3JhIFNhbnRhbmVyYQ==,26,La Sonora Santanera,https://i.scdn.co/image/ab67616d0000b27366ac8dd456ffe26126dfc4f1,1950-01-01
38,Frosty The Snowman,RnJvc3R5IFRoZSBTbm93bWFuX0ppbW15IER1cmFudGU=,28,Jimmy Durante,https://i.scdn.co/image/ab67616d0000b273c8769c2ca401307f6122b5c1,1950-01-01
39,Pena Negra,UGVuYSBOZWdyYV9MYSBTb25vcmEgU2FudGFuZXJh,25,La Sonora Santanera,https://i.scdn.co/image/ab67616d0000b27366ac8dd456ffe26126dfc4f1,1950-01-01
40,Get in Line Brother,R2V0IGluIExpbmUgQnJvdGhlcl9GbGF0dCAmIFNjcnVnZ3M=,26,Flatt & Scruggs,https://i.scdn.co/image/ab67616d0000b273120a9f67b60d402473f93868,1951-01-01
41,Six More Miles (To The Graveyard),U2l4IE1vcmUgTWlsZXMgKFRvIFRoZSBHcmF2ZXlhcmQpX0hhbmsgV2lsbGlhbXPsmbggMeuqhQ==,27,Hank Williams,https://i.scdn.co/image/ab67616d0000b273cf2da0cdda3bedfaf3a6fa38,1951-11-09
42,Crazy He Calls Me,Q3JhenkgSGUgQ2FsbHMgTWVfV3ludG9uIEtlbGx5,31,Wynton Kelly,https://i.scdn.co/image/ab67616d0000b273f649c1e01b411348b5e4b383,1951-07-28
43,Ain't Got No Home,QWluJ3QgR290IE5vIEhvbWVfQ2xhcmVuY2U=,24,Clarence,https://i.scdn.co/image/ab67616d0000b273e2e6488ff9ee8866e7efa5c5,1950-12-21
44,Laberinto,TGFiZXJpbnRvX1NvbmlhIExvcGV6,43,Sonia Lopez,https://i.scdn.co/image/ab67616d0000b2732c779dfbc19f362ffc0c171b,1950-01-01
45,Dónde Estás Yolanda,RMOzbmRlIEVzdMOhcyBZb2xhbmRhX0xhIFNvbm9yYSBTYW50YW5lcmE=,38,La Sonora Santanera,https://i.scdn.co/image/ab67616d0000b2738a61c81e717075df6e7b389d,1950-01-01
46,I'm Confessin' (That I Love You),SSdtIENvbmZlc3NpbicgKFRoYXQgSSBMb3ZlIFlvdSlfTGVzIFBhdWzsmbggMeuqhQ==,28,Les Paul,https://i.scdn.co/image/ab67616d0000b2733903aabcdfaddd820394504f,1951-01-01
